date,10yr_yield,est_mortgage_rate
2026-01-12,4.187,5.417
2026-01-13,4.171,5.401
2026-01-14,4.14,5.37
2026-01-15,4.16,5.39
2026-01-16,4.231,5.461
2026-01-20,4.295,5.525
2026-01-21,4.253,5.483
2026-01-22,4.249,5.479
2026-01-23,4.239,5.469
2026-01-26,4.213,5.443
2026-01-27,4.223,5.453
2026-01-28,4.251,5.481
2026-01-29,4.227,5.457
2026-01-30,4.241,5.471
2026-02-02,4.275,5.505
2026-02-03,4.274,5.504
2026-02-04,4.275,5.505
2026-02-05,4.21,5.44
2026-02-06,4.206,5.436
2026-02-09,4.198,5.428
2026-02-10,4.147,5.377
2026-02-11,4.172,5.402
2026-02-12,4.104,5.334
2026-02-13,4.056,5.286
2026-02-17,4.052,5.282
2026-02-18,4.079,5.309
2026-02-19,4.075,5.305
2026-02-20,4.086,5.316
2026-02-23,4.029,5.259
2026-02-24,4.033,5.263
2026-02-25,4.048,5.278
2026-02-26,4.017,5.247
2026-02-27,3.962,5.192
2026-03-02,4.048,5.278
2026-03-03,4.056,5.286
2026-03-04,4.08,5.31
2026-03-05,4.146,5.376
2026-03-06,4.133,5.363
2026-03-09,4.136,5.366
2026-03-10,4.136,5.366
2026-03-11,4.208,5.438
2026-03-12,4.273,5.503
2026-03-13,4.285,5.515
2026-03-16,4.22,5.45
2026-03-17,4.202,5.432
2026-03-18,4.259,5.489
2026-03-19,4.281,5.511
2026-03-20,4.391,5.621
2026-03-23,4.334,5.564
2026-03-24,4.392,5.622
2026-03-25,4.328,5.558
2026-03-26,4.392,5.622
2026-03-27,4.414,5.644
2026-03-28,4.44,5.67
2026-03-29,4.44,5.67
2026-03-30,4.328,5.558
2026-04-01,4.301,5.531
2026-04-02,4.309,5.539
2026-04-03,4.313,5.543
2026-04-04,4.313,5.543
2026-04-05,4.313,5.543
2026-04-06,4.327,5.557
2026-04-07,4.364,5.594
2026-04-08,4.271,5.501
2026-04-09,4.283,5.513
2026-04-10,4.293,5.523
2026-04-11,4.317,5.547
2026-04-12,4.317,5.547
2026-04-13,4.317,5.547
2026-04-14,4.258,5.488
2026-04-15,4.256,5.486
2026-04-16,4.282,5.512
2026-04-17,4.309,5.539
2026-04-18,4.246,5.476
2026-04-19,4.246,5.476
2026-04-20,4.246,5.476
2026-04-21,4.25,5.48
